codigo_pv,distrito,concelho,freguesia,regiao_agraria,nut_iii,hayford_x,hayford_y,altitude_m,tipo_estrutura,altura_plataforma_m,fonte_energia,obstrucao_visibilidade,n_visadas,area_ardida_ha,risco_muito_alto_pct,risco_alto_pct,risco_medio_pct,risco_baixo_pct,risco_muito_baixo_pct,rede,lat,lon,coord_source,osm_name,osm_height,osm_height_viewpoint,osm_ele,osm_material,osm_ownership,osm_start_date,osm_website,osm_tower_construction
21-07,Aveiro,Castelo de Paiva,Raiva,Entre Douro e Minho,Tamega,182096,450722,413,Metálica,6,Painel Solar e Bateria,Média,61,34406,24.4,37,23.4,14.1,1,Primária,41.0253923,-8.3459938,Hayford_converted,,,,,,,,,
22-01,Aveiro,Arouca,Moldes,Entre Douro e Minho,Entre Douro e Vouga,189752,435140,1097,Alvenaria,6.7,Painel Solar e Bateria,Média,20,35260,28.2,36.8,19,14.9,1.2,Primária,40.8852159,-8.254705,Hayford_converted,,,,,,,,,
22-02,Aveiro,Vale de Cambra,Arões,,Entre Douro e Vouga,187815,430533,1044,Alvenaria,6.5,Painel Solar,Elevada,6,34074,26.8,34.5,20.2,17.2,1.3,Primária,40.8437046,-8.2775967,Hayford_converted,,,,,,,,,
22-03,Aveiro,Arouca,Alvarenga,Entre Douro e Minho,Entre Douro e Vouga,201349,443964,867,Metálica,6.5,Painel Solar e Bateria,Média,5,41645,34.6,41.9,16.2,7.1,0.1,Primária,40.9647082,-8.1169963,OSM,Posto de Vigia Corregos,10,8.0,872,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=50,lattice
22-04,Aveiro,Oliveira de Azeméis,Pindelo,,Entre Douro e Vouga,174654,435356,440,Metálica,8,Painel Solar,Reduzida,22,26593,22.9,31.5,21.7,22.3,1.6,Primária,40.8868652,-8.4339147,OSM,Posto de Vigia Pindelo,10,8.0,444,metal,DRAEDM,1995,http://scrif.igeo.pt/ASP/pesque.asp?cod=51,lattice
47-02,Aveiro,Serverdo Vouga,Talhadas,Beira Litoral,Baixo Vouga,181437,410980,498,Alvenaria,6,Painel Solar,Elevada,48,21747,18.8,30.4,21.3,27.9,1.5,Primária,40.6675133,-8.352642,Hayford_converted,,,,,,,,,
47-03,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Beira Litoral,Baixo Vouga,171345,416515,207,Metálica,6,Painel Solar,Elevada,40,16032,17.7,26.1,22.6,31.8,1.8,Primária,40.7171014,-8.4722233,OSM,Posto de Vigia Senhora do Socorro,8,6.0,212,metal,DRABL,1987,http://scrif.igeo.pt/ASP/pesque.asp?cod=161,lattice
47-04,Aveiro,Águeda,Préstimo,Beira Litoral,Baixo Vouga,184624,404463,491,Metálica,10,Painel Solar,Reduzida,28,19517,17.7,32.5,19.8,28.6,1.4,Primária,40.6088696,-8.3148125,OSM,Posto de Vigia Tareja,12,10.0,494,metal,DRABL,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=162,lattice
47-05,Aveiro,Águeda,Agadão,Beira Litoral,Baixo Vouga,182795,399657,358,Metálica,6,Painel Solar,Muito Elevada,32,17355,15.6,32.1,19.6,31.2,1.5,Primária,40.5654416,-8.3362119,OSM,Posto de Vigia São Lourenço,8,6.0,362,metal,DRABL,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=163,lattice
61-01,Beja,Vidigueira,Vidigueira,Alentejo,Alentejo Central,230576,142171,409,Metálica,8.1,Electricidade,Média,6,,0,0.1,0.1,0.6,99.2,Primária,38.2460743,-7.7837758,OSM,Posto de Vigia Mendro,8,6.0,420,metal,DRAAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=196,lattice
